,bedrooms,beds,accommodates,host_listings_count,host_total_listings_count,bathrooms,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,number_of_reviews_ly,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,estimated_occupancy_l365d,estimated_revenue_l365d,latitude,longitude
14212,1.0,1.0,2.0,4.0,4.0,1.0,1.0,1125.0,1.0,1.0,1125,1125,22,44,74,268,38.0,11.0,0.0,11.0,4.53,4.5,4.29,4.66,4.89,4.71,4.58,1.09,66.0,2970.0,35.50772095,23.94058609
14213,0.0,2.0,4.0,2.0,2.0,1.0,2.0,30.0,2.0,2.0,1125,1125,30,60,90,180,15.0,2.0,0.0,2.0,4.67,4.87,4.53,4.73,4.87,4.93,4.67,0.44,12.0,1080.0,35.011322,25.746927
14214,1.0,2.0,3.0,5.0,5.0,1.0,1.0,1125.0,1.0,3.0,1125,1125,16,38,53,195,5.0,1.0,0.0,1.0,5.0,5.0,5.0,5.0,5.0,4.8,5.0,0.15,6.0,1200.0,35.188278,24.400234
14215,0.0,2.0,2.0,2.0,2.0,1.0,2.0,365.0,2.0,3.0,365,365,19,37,54,303,20.0,10.0,0.0,11.0,4.25,4.6,4.15,4.8,4.95,4.85,4.55,0.58,60.0,2460.0,35.51614,24.01876
14216,1.0,1.0,3.0,2.0,2.0,1.0,3.0,365.0,3.0,3.0,365,365,23,53,76,229,15.0,6.0,0.0,6.0,4.87,4.93,4.87,4.87,5.0,4.93,4.8,0.44,36.0,6480.0,35.183983,25.712057
14217,0.0,2.0,2.0,2.0,2.0,1.0,2.0,365.0,2.0,3.0,365,365,13,18,45,317,7.0,5.0,0.0,3.0,4.71,4.86,4.86,4.71,4.71,5.0,4.71,0.23,30.0,1230.0,35.51614,24.01876
14218,5.0,8.0,10.0,272.0,420.0,3.0,5.0,1125.0,4.0,7.0,1125,1125,4,27,48,247,12.0,7.0,0.0,7.0,4.92,4.92,4.75,4.92,5.0,4.67,4.83,0.39,70.0,21560.0,35.3393662,24.42353085
14219,2.0,2.0,5.0,272.0,420.0,2.0,5.0,1125.0,5.0,7.0,1125,1125,6,28,41,139,35.0,11.0,0.0,11.0,5.0,5.0,5.0,5.0,5.0,4.89,4.89,1.04,110.0,28050.0,35.35424805,24.36759377
14220,3.0,5.0,6.0,83.0,137.0,3.0,7.0,365.0,5.0,7.0,1125,1125,0,22,33,90,20.0,3.0,0.0,3.0,4.9,4.9,5.0,4.85,4.9,4.8,4.85,0.58,42.0,9870.0,35.537155,23.799534
14221,1.0,2.0,2.0,3.0,4.0,1.0,2.0,365.0,2.0,2.0,365,365,27,46,69,344,15.9,3.9,0.0,3.8,4.94,4.9,4.95,4.93,4.96,4.36,4.88,0.4,26.6,17850.0,35.36526,24.53717
14222,1.0,2.0,2.0,1.0,1.0,1.0,3.0,365.0,3.0,3.0,365,365,23,53,66,165,23.0,11.0,0.0,11.0,4.96,4.96,5.0,4.96,4.91,4.83,4.87,0.68,66.0,4488.0,35.5397,23.73263
14223,1.0,2.0,2.0,2.0,3.0,1.0,3.0,90.0,3.0,3.0,1125,1125,10,40,70,183,3.0,1.0,0.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.1,6.0,216.0,35.3358,25.37565
14224,1.0,4.0,4.0,3.0,4.0,2.0,2.0,365.0,2.0,2.0,365,365,13,36,50,302,24.0,6.0,0.0,6.0,5.0,5.0,5.0,5.0,4.96,4.71,5.0,0.7,36.0,4140.0,35.36742,24.53554
14225,1.0,1.0,2.0,2.0,3.0,1.0,2.0,90.0,2.0,2.0,1125,1125,0,0,0,234,1.0,1.0,0.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.15,6.0,540.0,35.502766,24.022711
14226,1.0,1.0,2.0,1.0,1.0,1.7,3.0,30.0,3.0,3.0,1125,1125,0,0,0,0,53.0,21.0,0.0,21.0,4.98,4.94,4.87,4.98,5.0,4.79,4.87,1.53,126.0,0.0,35.49377,23.65454
14227,1.0,2.0,3.0,1.0,1.0,1.0,5.0,59.0,5.0,5.0,1125,1125,30,37,64,278,25.0,7.0,0.0,7.0,4.76,4.32,4.84,4.68,4.68,4.68,4.56,0.73,70.0,7980.0,35.50531,24.17135
14228,1.0,2.0,3.0,1.0,1.0,1.0,3.0,1125.0,3.0,3.0,1125,1125,29,42,62,279,10.0,2.0,0.0,2.0,4.8,4.6,5.0,5.0,5.0,5.0,4.6,0.3,12.0,744.0,35.197979,26.273657
14229,2.0,3.0,5.0,2.0,2.0,1.5,4.0,100.0,2.0,5.0,1125,1125,21,51,81,328,52.0,15.0,0.0,15.0,4.92,4.87,4.98,4.94,4.98,4.88,4.83,1.54,120.0,17160.0,35.166935,25.710014
14230,0.0,1.0,2.0,1.0,1.0,1.0,4.0,59.0,4.0,4.0,1125,1125,25,54,79,208,66.0,25.0,0.0,25.0,4.95,4.95,4.97,4.95,4.95,4.94,4.92,2.02,26.6,9800.0,35.515762,24.019915
14231,4.0,5.0,7.0,41.0,67.0,3.0,4.0,365.0,4.0,7.0,365,365,15,24,46,159,0.0,0.0,0.0,0.0,4.9,4.9,5.0,5.0,5.0,4.8,4.9,0.3,0.0,0.0,35.22053,24.53476
